iso_code,continent,country,population,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,case_fatality_rate_%,total_vaccinations,people_fully_vaccinated,total_boosters,vaccination_rate_%,gdp_per_capita,life_expectancy,human_development_index,median_age,hospital_beds_per_thousand
AFG,Asia,Afghanistan,40600000,209451,7896,5158.89,194.48,3.77,28740594,25892327,7670867,63.77,500,60.5,0.805,38.3,7.19
BGD,Asia,Bangladesh,169000000,2037547,29444,12056.49,174.22,1.445,83436385,65761698,13838170,38.91,2500,60.3,0.678,18.8,1.99
IND,Asia,India,1400000000,44690000,530779,31921.43,379.13,1.188,1185423989,899427195,249280040,64.24,2100,71.1,0.845,18.2,6.54
PAK,Asia,Pakistan,231000000,1579704,30634,6838.55,132.61,1.939,189644459,153421590,39033187,66.42,1500,81.8,0.585,20.8,1.23
BRA,South America,Brazil,215000000,37519960,702116,174511.44,3265.66,1.871,210942765,157245079,75869947,73.14,8900,75.2,0.695,47.2,3.34
USA,North America,United States,331000000,103436829,1127152,312497.97,3405.29,1.09,283598310,198076452,82495259,59.84,63000,79.0,0.718,39.1,0.84
GBR,Europe,United Kingdom,67000000,24651493,227000,367932.73,3388.06,0.921,36863074,30321133,6911010,45.26,46000,60.8,0.456,26.3,5.27
DEU,Europe,Germany,83000000,38249060,174979,460832.05,2108.18,0.457,53263337,42676481,11664654,51.42,50000,61.7,0.915,37.4,5.07
FRA,Europe,France,67000000,38997490,167985,582052.09,2507.24,0.431,39814890,28609830,7358187,42.7,43000,65.0,0.944,37.2,4.68
ITA,Europe,Italy,60000000,26361265,191469,439354.42,3191.15,0.726,56744905,39484584,18620928,65.81,35000,60.6,0.418,27.5,2.51
RUS,Europe,Russia,144000000,22104337,399743,153502.34,2775.99,1.808,94644383,64071688,32466961,44.49,12000,63.1,0.76,29.9,7.36
ZAF,Africa,South Africa,60000000,4072994,102595,67883.23,1709.92,2.519,40265533,33389000,9559926,55.65,6000,70.3,0.545,35.5,7.23
NGA,Africa,Nigeria,220000000,266675,3155,1212.16,14.34,1.183,138418628,116540650,63996918,52.97,2100,68.8,0.45,19.4,1.32
EGY,Africa,Egypt,102000000,515645,24830,5055.34,243.43,4.815,91385325,64499773,22430182,63.24,3500,55.8,0.61,47.9,4.47
AUS,Oceania,Australia,26000000,11424333,21419,439397.42,823.81,0.187,29552956,20461617,4174545,78.7,55000,74.9,0.775,34.1,2.5
CHN,Asia,China,1412000000,99243274,121683,70285.6,86.18,0.123,1031838085,901467126,317467728,63.84,12500,67.2,0.925,44.3,2.48
JPN,Asia,Japan,125000000,33803572,74694,270428.58,597.55,0.221,84237362,71907968,37350418,57.53,40000,79.2,0.564,37.2,5.07
KOR,Asia,South Korea,52000000,32387287,35934,622832.44,691.04,0.111,30595989,21776438,8466301,41.88,32000,76.6,0.692,18.0,2.93
IDN,Asia,Indonesia,273000000,6812403,161860,24953.86,592.89,2.376,144136365,97942717,49711086,35.88,4300,78.1,0.569,19.7,7.09
TUR,Asia,Turkey,85000000,17232066,101198,202730.19,1190.56,0.587,74828148,65970816,24415578,77.61,9500,56.0,0.818,41.0,1.46
